"","p4","p26","p3_4","p8_1","p19","p32","edad"
"574",0,0,2,0,0,5,62
"575",0,30,2,0,3,0,40
"576",0,20,2,0,0,0,39
"577",0,0,2,0,0,3,41
"578",0,10,2,0,1,0,25
"579",0,35,2,0,0,0,33
"580",0,30,2,0,0,0,45
"581",0,25,2,0,2,0,31
"582",2,35,2,2,3,0,25
"583",0,0,2,0,0,3,62
"584",0,0,2,0,0,3,52
"585",2,30,2,1,0,0,44
"586",2,60,2,2,1,0,53
"587",0,30,2,0,3,0,58
"588",3,40,2,2,0,0,43
"589",1,20,2,2,3,0,42
"590",1,30,2,2,0,0,48
"591",0,15,2,0,3,0,44
"592",0,30,2,0,0,0,32
"593",1,60,2,2,0,0,59
"594",1,20,2,2,0,0,52
"595",0,60,2,0,3,0,57
"596",0,30,2,0,0,0,48
"597",5,60,2,2,0,0,30
"598",0,240,2,0,0,0,22
"599",3,40,2,2,0,0,43
"600",0,0,2,0,0,1,38
"601",0,20,2,0,2,0,30
"602",0,60,2,0,2,0,55
"603",6,90,1,2,0,0,27
"604",0,10,2,0,3,0,21
"605",0,15,2,0,2,0,63
"606",0,0,2,0,0,3,47
"607",1,60,2,2,3,0,51
"608",0,0,0,0,0,0,47
"609",0,0,2,0,0,2,46
"610",1,20,2,2,0,0,61
"611",0,0,0,0,0,0,21
"612",3,30,2,2,0,0,38
"613",0,20,2,0,2,0,56
"614",5,120,2,1,0,0,32
"615",0,0,2,0,0,5,64
"616",0,0,2,0,0,3,43
"617",1,30,2,2,0,0,38
"618",0,30,2,0,2,0,23
"619",0,20,2,0,2,0,33
"620",0,0,2,0,0,5,67
"621",0,0,2,0,0,1,23
"622",2,60,2,2,0,0,56
"623",0,0,2,0,0,5,33
"624",0,45,1,0,1,0,41
"625",0,40,2,0,1,0,39
"626",3,60,2,2,0,0,36
"627",1,20,2,2,2,0,34
"628",3,120,2,1,3,0,59
"629",7,120,1,2,1,0,27
"630",0,0,2,0,0,3,60
"631",0,0,2,0,0,3,42
"632",0,0,2,0,0,2,54
"633",2,20,2,2,1,0,29
"634",8,40,2,1,0,0,20
"635",0,20,2,0,0,0,26
"636",0,20,2,0,3,0,41
"637",1,60,2,2,0,0,51
"638",2,30,2,1,3,0,32
"639",0,15,2,0,3,0,70
"640",0,0,2,0,0,3,33
"641",0,30,2,0,3,0,46
"642",0,45,1,0,3,0,40
"643",2,20,2,1,0,0,21
"644",0,20,2,0,2,0,28
"645",0,0,2,0,0,5,46
"646",0,0,2,0,0,2,73
"647",0,0,2,0,0,3,45
"648",0,0,2,0,0,5,80
"649",0,0,2,0,0,2,35
"650",0,180,2,0,1,0,32
"651",2,20,2,2,2,0,49
"652",0,0,2,0,0,3,28
"653",0,60,2,0,0,0,62
"654",0,30,2,0,3,0,41
"655",0,30,2,0,2,0,54
"656",0,40,1,0,3,0,33
"657",0,20,2,0,2,0,46
"658",0,30,2,0,0,0,30
"659",0,0,2,0,0,5,82
"660",6,30,2,2,0,0,24
"661",0,20,2,0,2,0,22
"662",0,50,2,0,0,0,30
"663",0,20,2,0,3,0,30
"664",3,30,2,2,0,0,58
"665",2,45,2,2,3,0,60
"666",0,60,2,0,0,0,76
"667",2,35,2,2,3,0,56
"668",0,0,2,0,0,1,63
"669",0,0,2,0,0,3,28
"670",0,0,2,0,0,2,20
"671",0,0,2,0,0,1,52
"672",1,40,2,2,0,0,57
"673",0,45,2,0,0,0,31
"674",0,0,2,0,0,1,60
"675",2,30,2,2,0,0,38
"676",0,20,2,0,2,0,59
"677",0,0,2,0,0,5,61
"678",1,30,2,2,3,0,50
"679",1,40,2,2,0,0,57
"680",0,0,2,0,0,1,49
"681",3,60,2,2,0,0,22
"682",0,0,2,0,0,3,39
"683",0,30,2,0,0,0,50
"684",0,40,2,0,2,0,43
"685",0,60,2,0,2,0,43
"686",0,25,2,0,2,0,39
"687",0,0,2,0,0,3,63
"688",0,0,2,0,0,1,77
"689",0,40,2,0,0,0,38
"690",0,30,2,0,0,0,28
"691",0,0,2,0,0,3,44
"692",0,20,2,0,2,0,29
"693",0,30,2,0,0,0,28
"694",0,0,2,0,0,1,46
"695",0,0,2,0,0,1,62
"696",0,0,2,0,0,1,64
"697",0,0,0,0,0,0,26
"698",0,0,2,0,0,1,19
"699",0,0,2,0,0,3,51
"700",0,40,2,0,0,0,63
"701",4,60,2,2,0,0,56
"702",2,45,2,2,3,0,57
"703",0,0,2,0,0,5,19
"704",2,40,2,2,0,0,38
"705",1,100,2,1,1,0,32
"706",10,60,1,1,1,0,30
"707",7,120,2,2,0,0,56
"708",0,0,0,0,0,0,55
"709",8,30,2,1,1,0,53
"710",8,120,2,2,0,0,65
"711",25,60,2,2,2,0,22
"712",2,120,1,2,1,0,50
"713",2,30,2,1,1,0,40
"714",3,60,2,2,0,0,22
"715",0,20,2,0,1,0,34
"716",0,0,2,0,0,5,49
"717",0,20,2,0,1,0,30
"718",5,120,2,2,1,0,43
"719",3,180,2,1,0,0,73
"720",1,120,2,2,0,0,27
"721",1,30,2,1,1,0,23
"722",1,30,2,2,0,0,32
"723",0,0,2,0,0,2,54
"724",3,30,2,2,0,0,61
"725",4,60,1,1,0,0,23
"726",0,0,2,0,0,3,51
"727",60,120,1,1,1,0,34
"728",3,10,2,1,0,0,21
"729",2,60,2,2,3,0,65
"730",4,60,2,2,3,0,35
"731",0,0,2,0,0,3,30
"732",1,10,2,2,3,0,52
"733",1,60,2,2,0,0,19
"734",2,30,2,2,1,0,26
"735",0,0,2,0,0,3,38
"736",0,0,2,0,0,3,38
"737",0,0,2,0,0,3,54
"738",7,120,2,2,0,0,51
"739",0,15,2,0,3,0,41
"740",1,30,2,2,0,0,41
"741",0,0,2,0,0,5,25
"742",0,0,2,0,0,2,20
"743",0,0,2,0,0,3,72
"744",4,120,2,2,0,0,63
"745",2,25,1,1,2,0,27
"746",1,40,2,2,0,0,42
"747",0,10,2,0,0,0,29
"748",0,60,2,0,0,0,22
"749",0,30,2,0,0,0,63
"750",0,0,2,0,0,5,75
"751",0,60,2,0,0,0,68
"752",0,0,2,0,0,3,56
"753",0,45,2,0,0,0,27
"754",0,0,2,0,0,3,47
"755",1,60,2,2,0,0,72
"756",0,0,2,0,0,2,51
"757",0,30,2,0,0,0,73
"758",4,45,1,2,0,0,30
"759",0,30,2,0,3,0,29
"760",0,3,2,0,2,0,24
"761",1,130,2,1,0,0,56
"762",0,10,1,0,0,0,42
"763",3,120,2,2,0,0,19
"764",4,40,2,1,2,0,20
"765",0,20,2,0,3,0,47
"766",2,35,2,2,1,0,27
"767",4,30,2,2,2,0,36
"768",0,15,2,0,0,0,50
"769",0,30,2,0,0,0,57
"770",0,15,2,0,2,0,25
"771",0,0,2,0,0,3,62
"772",1,30,2,2,2,0,43
"773",1,30,1,2,0,0,28
"774",0,0,2,0,0,5,50
"775",0,0,2,0,0,2,53
"776",0,0,2,0,0,2,28
"777",0,20,2,0,0,0,30
"778",1,20,2,2,0,0,26
"779",0,10,2,0,0,0,60
"780",25,300,2,1,0,0,45
"781",1,20,2,2,0,0,33
"782",0,0,2,0,0,5,58
"783",0,0,2,0,0,3,54
"784",0,0,2,0,0,5,70
"785",0,0,2,0,0,3,42
"786",0,0,2,0,0,2,28
"787",0,0,2,0,0,1,34
"788",0,0,2,0,0,1,26
"789",0,0,2,0,0,5,94
"790",1,30,2,2,2,0,42
"791",0,120,2,0,0,0,31
"792",0,30,2,0,2,0,83
"793",1,40,2,2,0,0,58
"794",0,30,2,0,3,0,36
"795",0,20,2,0,0,0,38
"796",3,60,2,2,0,0,20
"797",1,15,2,2,3,0,46
"798",0,60,2,0,0,0,23
"799",0,30,2,0,3,0,60
"800",3,40,2,2,0,0,30
"801",0,0,2,0,0,5,62
"802",4,60,1,2,0,0,28
"803",0,0,2,0,0,1,57
"804",0,0,2,0,0,4,32
"805",0,0,2,0,0,3,23
"806",0,0,2,0,0,4,38
"807",0,30,2,0,3,0,60
"808",0,0,2,0,0,5,77
"809",2,15,2,2,0,0,27
"810",0,0,2,0,0,4,38
"811",0,0,2,0,0,3,28
"812",0,0,2,0,0,1,42
"813",3,30,2,1,0,0,36
"814",3,30,1,1,0,0,56
"815",0,10,2,0,3,0,31
