"","p4","p26","p3_1","p3_4","p8_1","p5","p32"
"504",0,30,2,2,0,0,0
"505",0,0,2,2,0,0,3
"506",0,0,2,2,0,0,4
"507",0,0,2,2,0,0,3
"508",0,40,2,2,0,0,0
"509",1,30,1,2,2,4,0
"510",1,60,1,2,2,4,0
"511",0,30,2,2,0,0,0
"512",1,20,1,2,2,4,0
"513",0,25,2,2,0,0,0
"514",0,0,2,2,0,0,2
"515",3,30,1,2,1,6,0
"516",0,20,2,2,0,0,0
"517",0,25,2,2,0,0,0
"518",0,30,2,2,0,0,0
"519",3,60,1,2,1,1,0
"520",2,35,1,2,2,2,0
"521",0,0,2,2,0,0,1
"522",0,0,2,2,0,0,3
"523",0,20,2,2,0,0,0
"524",0,0,2,2,0,0,3
"525",0,0,2,2,0,0,1
"526",0,25,2,2,0,0,0
"527",0,30,2,2,0,0,0
"528",0,0,2,2,0,0,3
"529",0,25,2,2,0,0,0
"530",0,25,2,2,0,0,0
"531",0,20,2,2,0,0,0
"532",0,0,2,2,0,0,3
"533",0,0,2,2,0,0,1
"534",0,25,2,2,0,0,0
"535",0,30,2,2,0,0,0
"536",0,20,2,2,0,0,0
"537",1,50,1,2,2,4,0
"538",3,30,1,2,1,4,0
"539",1,45,1,2,1,3,0
"540",0,0,2,2,0,0,3
"541",0,0,2,2,0,0,5
"542",0,35,2,2,0,0,0
"543",0,35,2,2,0,0,0
"544",0,45,2,2,0,0,0
"545",0,30,2,2,0,0,0
"546",0,20,2,2,0,0,0
"547",0,20,2,2,0,0,0
"548",0,40,2,2,0,0,0
"549",0,60,2,1,0,0,0
"550",0,30,2,2,0,0,0
"551",0,0,2,2,0,0,3
"552",0,0,2,2,0,0,3
"553",0,0,2,2,0,0,2
"554",0,0,2,2,0,0,2
"555",0,10,2,2,0,0,0
"556",0,30,2,2,0,0,0
"557",0,0,2,2,0,0,5
"558",0,0,2,2,0,0,3
"559",0,30,2,2,0,0,0
"560",1,20,1,2,2,5,0
"561",0,20,2,2,0,0,0
"562",2,20,1,2,2,4,0
"563",3,40,1,2,2,1,0
"564",0,60,2,2,0,0,0
"565",0,15,2,2,0,0,0
"566",0,0,2,2,0,0,3
"567",0,0,2,2,0,0,3
"568",0,30,2,2,0,0,0
"569",0,0,2,2,0,0,3
"570",0,0,2,2,0,0,1
"571",1,60,1,2,1,1,0
"572",0,30,2,2,0,0,0
"573",1,20,1,2,2,1,0
"574",0,0,2,2,0,0,3
"575",0,0,2,2,0,0,2
"576",0,20,2,2,0,0,0
"577",0,30,2,2,0,0,0
"578",1,60,1,2,2,4,0
"579",1,40,1,2,2,4,0
"580",0,25,2,2,0,0,0
"581",1,35,1,2,2,5,0
